SiO2,Al2O3,B2O3,CaO,Na2O,Li2O,MgO,BaO,ZnO,K2O,PbO,SrO,GeO2,ZrO2,TiO2,TeO2,FemOn,P2O5,Tg
35.90129,0,0,0,27.75666,0,0,0,0,0,0,0,0,15.11516,0,0,0,21.22689,744
39.00292,0,0,0,25.99747,0,0,0,0,0,0,0,0,18.00726,0,0,0,16.99235,740
38.325,0,0,0,25.07722,0,0,0,0,0,0,0,0,20.51307,0,0,0,16.08471,740
50.12459,22.68266,0,6.237585,0,0,0,0,0,20.95516,0,0,0,0,0,0,0,0,771
50.85354,23.01253,0,6.328296,2.797712,0,0,0,0,17.00793,0,0,0,0,0,0,0,0,712
51.604,23.35213,0,6.421685,5.677999,0,0,0,0,12.94419,0,0,0,0,0,0,0,0,673
52.37695,23.70191,0,6.517871,8.644568,0,0,0,0,8.758714,0,0,0,0,0,0,0,0,654
53.17339,24.06232,0,6.616982,11.70136,0,0,0,0,4.44595,0,0,0,0,0,0,0,0,652
53.99444,24.43386,0,6.719154,14.85254,0,0,0,0,0,0,0,0,0,0,0,0,0,650
74.20022,0,11.46352,9.233594,5.102665,0,0,0,0,0,0,0,0,0,0,0,0,0,560
68.71407,0,17.06134,9.161668,5.062917,0,0,0,0,0,0,0,0,0,0,0,0,0,520
52.75676,0,33.34348,8.952457,4.947303,0,0,0,0,0,0,0,0,0,0,0,0,0,460
69.14568,0,11.44567,9.219213,10.18944,0,0,0,0,0,0,0,0,0,0,0,0,0,610
63.70733,0,17.03498,9.147511,10.11019,0,0,0,0,0,0,0,0,0,0,0,0,0,560
58.35292,0,22.53801,9.076913,10.03216,0,0,0,0,0,0,0,0,0,0,0,0,0,530
47.88827,0,33.29313,8.938939,9.879665,0,0,0,0,0,0,0,0,0,0,0,0,0,500
48.1817,0,27.91428,8.993712,14.91031,0,0,0,0,0,0,0,0,0,0,0,0,0,535
37.96474,0,38.49132,8.858237,14.68571,0,0,0,0,0,0,0,0,0,0,0,0,0,505
28.05101,0,48.75443,8.726782,14.46777,0,0,0,0,0,0,0,0,0,0,0,0,0,475
38.19526,0,33.19288,8.912023,19.69983,0,0,0,0,0,0,0,0,0,0,0,0,0,540
33.16951,0,38.4338,8.845001,19.55168,0,0,0,0,0,0,0,0,0,0,0,0,0,525
28.2188,0,43.59649,8.77898,19.40575,0,0,0,0,0,0,0,0,0,0,0,0,0,515
39.46024,0,35.12859,17.96523,7.445952,0,0,0,0,0,0,0,0,0,0,0,0,0,500
73.61102,0,14.21562,4.580137,7.59322,0,0,0,0,0,0,0,0,0,0,0,0,0,555
68.17266,0,19.74806,4.544741,7.534537,0,0,0,0,0,0,0,0,0,0,0,0,0,525
62.81771,0,25.19565,4.509887,7.476755,0,0,0,0,0,0,0,0,0,0,0,0,0,495
68.9292,0,14.2623,9.190351,7.618152,0,0,0,0,0,0,0,0,0,0,0,0,0,560
60.83092,0,22.5553,9.083878,7.529893,0,0,0,0,0,0,0,0,0,0,0,0,0,520
55.53552,0,27.97804,9.014256,7.472181,0,0,0,0,0,0,0,0,0,0,0,0,0,500
50.32067,0,33.31829,8.945693,7.415348,0,0,0,0,0,0,0,0,0,0,0,0,0,475
64.21653,0,14.30928,13.83094,7.643247,0,0,0,0,0,0,0,0,0,0,0,0,0,565
53.49824,0,25.35909,13.61742,7.525254,0,0,0,0,0,0,0,0,0,0,0,0,0,520
47.22465,0,31.82671,13.49245,7.456191,0,0,0,0,0,0,0,0,0,0,0,0,0,500
48.26223,0,30.75703,13.51312,7.467613,0,0,0,0,0,0,0,0,0,0,0,0,0,505
54.09119,0,19.94234,18.35781,7.608662,0,0,0,0,0,0,0,0,0,0,0,0,0,545
43.57627,0,30.85634,18.07567,7.491726,0,0,0,0,0,0,0,0,0,0,0,0,0,510
38.43908,0,36.1885,17.93783,7.434595,0,0,0,0,0,0,0,0,0,0,0,0,0,495
52.00598,0,17.21708,23.11324,7.663698,0,0,0,0,0,0,0,0,0,0,0,0,0,560
44.05707,0,25.52465,22.84389,7.574387,0,0,0,0,0,0,0,0,0,0,0,0,0,525
41.69223,0,0,0,0,0,0,0,0,7.053474,51.25429,0,0,0,0,0,0,0,460
46.14552,0,0,0,0,1.651029,0,0,0,7.80688,44.39656,0,0,0,0,0,0,0,435
58.68148,0,0,0,0,6.298649,0,0,0,9.927707,25.09217,0,0,0,0,0,0,0,435
67.90506,0,0,0,0,9.718231,0,0,0,11.48815,10.88856,0,0,0,0,0,0,0,450
54.96281,0,0,0,12.23654,0,0,0,0,9.298585,23.50207,0,0,0,0,0,0,0,390
61.4865,0,0,0,18.2519,0,0,0,0,10.40226,9.859348,0,0,0,0,0,0,0,410
